year,lgID,tmID,franchID,confID,divID,rank,playoff,G,W,L,T,OTL,Pts,SoW,SoL,GF,GA,GoalDif,name,PIM,BenchMinor,PPG,PPC,PP%,SHA,PKG,PKC,PK%,SHF
2002,NHL,OTT,OTT,EC,NE,1,CF,82,52,21,8,1,113,,,263,182,81,Ottawa Senators,1135,22,83,391,21.22762148337596,8,50,332,15.060240963855422,4
2002,NHL,PHI,PHI,EC,AT,2,CSF,82,45,20,13,4,107,,,211,166,45,Philadelphia Flyers,1003,30,47,328,14.329268292682926,8,50,338,14.792899408284024,8
2002,NHL,PHO,PHO,WC,PC,4,,82,31,35,11,5,78,,,204,230,-26,Phoenix Coyotes,1433,24,55,385,14.285714285714285,11,77,412,18.689320388349515,4
2002,NHL,PIT,PIT,EC,AT,5,,82,27,44,6,5,65,,,189,255,-66,Pittsburgh Penguins,1125,32,66,360,18.333333333333332,10,58,352,16.477272727272727,3
2002,NHL,SJS,SJS,WC,PC,5,,82,28,37,9,8,73,,,214,239,-25,San Jose Sharks,1112,30,68,375,18.133333333333333,10,68,358,18.994413407821227,5
2002,NHL,STL,STL,WC,CE,2,CQF,82,41,24,11,6,99,,,253,222,31,St. Louis Blues,1618,16,80,391,20.460358056265985,7,71,389,18.251928020565554,11
2002,NHL,TBL,TBL,EC,SE,1,CSF,82,36,25,16,5,93,,,219,210,9,Tampa Bay Lightning,1079,30,70,391,17.902813299232736,5,55,316,17.405063291139243,6
2002,NHL,TOR,TOR,EC,NE,2,CQF,82,44,28,7,3,98,,,236,208,28,Toronto Maple Leafs,1390,22,63,359,17.548746518105848,7,56,426,13.145539906103288,11
2002,NHL,VAN,VAN,WC,NW,2,CSF,82,45,23,13,1,104,,,264,208,56,Vancouver Canucks,1178,36,87,419,20.763723150357997,10,62,389,15.938303341902312,12
2002,NHL,WAS,WAS,EC,SE,2,CQF,82,39,29,8,6,92,,,224,220,4,Washington Capitals,1268,22,57,331,17.220543806646525,4,72,384,18.75,8
2003,NHL,ANA,ANA,WC,PC,4,,82,29,35,10,8,76,,,184,213,-29,Mighty Ducks of Anaheim,1131,14,56,310,18.064516129032256,4,54,353,15.29745042492918,5
2003,NHL,ATL,WPG,EC,SE,2,,82,33,37,8,4,78,,,214,243,-29,Atlanta Thrashers,1505,32,60,410,14.634146341463413,7,58,391,14.83375959079284,11
2003,NHL,BOS,BOS,EC,NE,1,CQF,82,41,19,15,7,104,,,209,188,21,Boston Bruins,1208,22,48,300,16.0,13,55,335,16.417910447761194,7
2003,NHL,BUF,BUF,EC,NE,5,,82,37,34,7,4,85,,,220,221,-1,Buffalo Sabres,1289,28,58,367,15.803814713896458,9,53,348,15.229885057471265,7
2003,NHL,CAL,CAL,WC,NW,3,F,82,42,30,7,3,94,,,200,176,24,Calgary Flames,1428,42,54,357,15.126050420168067,2,53,346,15.31791907514451,11
2003,NHL,CAR,CAR,EC,SE,3,,82,28,34,14,6,76,,,172,209,-37,Carolina Hurricanes,1102,16,41,384,10.677083333333332,9,66,359,18.384401114206128,9
2003,NHL,CBS,CBS,WC,CE,4,,82,25,45,8,4,62,,,177,238,-61,Columbus Blue Jackets,1209,22,58,401,14.463840399002494,14,50,337,14.836795252225517,5
2003,NHL,CHI,CHI,WC,CE,5,,82,20,43,11,8,59,,,188,259,-71,Chicago Blackhawks,1318,18,55,349,15.759312320916905,14,63,383,16.449086161879894,5
2003,NHL,COL,COL,WC,NW,2,CSF,82,40,22,13,7,100,,,236,198,38,Colorado Avalanche,1293,28,74,363,20.385674931129476,14,58,357,16.246498599439775,7
2003,NHL,DAL,DAL,WC,PC,2,CQF,82,41,26,13,2,97,,,194,175,19,Dallas Stars,1143,20,52,328,15.853658536585366,11,44,311,14.14790996784566,5
2003,NHL,DET,DET,WC,CE,1,CSF,82,48,21,11,2,109,,,255,189,66,Detroit Red Wings,966,22,63,314,20.063694267515924,5,42,317,13.249211356466878,15
2003,NHL,EDM,EDM,WC,NW,4,,82,36,29,12,5,89,,,221,208,13,Edmonton Oilers,1220,22,44,338,13.017751479289942,8,66,350,18.857142857142858,13
2003,NHL,FLO,FLO,EC,SE,4,,82,28,35,15,4,75,,,188,221,-33,Florida Panthers,1192,22,52,310,16.7741935483871,12,51,373,13.672922252010725,7
2003,NHL,LAK,LAK,WC,PC,3,,82,28,29,16,9,81,,,205,217,-12,Los Angeles Kings,1163,6,50,356,14.04494382022472,4,65,336,19.345238095238095,9
2003,NHL,MIN,MIN,WC,NW,5,,82,30,29,20,3,83,,,188,183,5,Minnesota Wild,1035,44,46,339,13.569321533923304,7,44,285,15.43859649122807,7
2003,NHL,MTL,MTL,EC,NE,4,CSF,82,41,30,7,4,93,,,208,192,16,Montreal Canadiens,1039,16,55,319,17.24137931034483,6,55,314,17.51592356687898,5
2003,NHL,NAS,NAS,WC,CE,3,CQF,82,38,29,11,4,91,,,216,217,-1,Nashville Predators,1360,28,72,428,16.822429906542055,8,64,351,18.233618233618234,14
2003,NHL,NJD,NJD,EC,AT,2,CQF,82,43,25,12,2,100,,,213,164,49,New Jersey Devils,894,14,51,312,16.346153846153847,5,39,266,14.661654135338345,8
2003,NHL,NYI,NYI,EC,AT,3,CQF,82,38,29,11,4,91,,,237,210,27,New York Islanders,1168,16,54,325,16.615384615384617,5,52,359,14.484679665738161,11
2003,NHL,NYR,NYR,EC,AT,4,,82,27,40,7,8,69,,,206,250,-44,New York Rangers,1459,30,46,322,14.285714285714285,8,80,388,20.618556701030926,6
2003,NHL,OTT,OTT,EC,NE,3,CQF,82,43,23,10,6,102,,,262,189,73,Ottawa Senators,1270,20,80,370,21.62162162162162,8,57,347,16.42651296829971,6
2003,NHL,PHI,PHI,EC,AT,1,CF,82,40,21,15,6,101,,,229,186,43,Philadelphia Flyers,1357,22,65,314,20.70063694267516,3,58,348,16.666666666666664,7
2003,NHL,PHO,PHO,WC,PC,5,,82,22,36,18,6,68,,,188,245,-57,Phoenix Coyotes,1300,24,51,358,14.24581005586592,8,71,398,17.839195979899497,9
2003,NHL,PIT,PIT,EC,AT,5,,82,23,47,8,4,58,,,190,303,-113,Pittsburgh Penguins,1270,32,65,360,18.055555555555554,15,84,369,22.76422764227642,7
2003,NHL,SJS,SJS,WC,PC,1,CF,82,43,21,12,6,104,,,219,183,36,San Jose Sharks,1091,18,56,337,16.61721068249258,9,47,319,14.733542319749215,9
2003,NHL,STL,STL,WC,CE,2,CQF,82,39,30,11,2,91,,,191,198,-7,St. Louis Blues,1274,28,61,341,17.888563049853374,11,57,369,15.447154471544716,7
2003,NHL,TBL,TBL,EC,SE,1,SC,82,46,22,8,6,106,,,245,192,53,Tampa Bay Lightning,985,34,55,339,16.224188790560472,4,42,278,15.107913669064748,15
2003,NHL,TOR,TOR,EC,NE,2,CSF,82,45,24,10,3,103,,,242,204,38,Toronto Maple Leafs,1452,20,75,373,20.10723860589812,8,64,386,16.580310880829018,8
2003,NHL,VAN,VAN,WC,NW,1,CQF,82,43,24,10,5,101,,,235,194,41,Vancouver Canucks,1274,28,56,376,14.893617021276595,8,50,360,13.88888888888889,5
2003,NHL,WAS,WAS,EC,SE,5,,82,23,46,10,3,59,,,186,253,-67,Washington Capitals,1282,12,64,334,19.16167664670659,5,75,401,18.703241895261847,4
2005,NHL,ANA,ANA,WC,PC,3,CF,82,43,27,,12,98,3,7,254,229,25,Mighty Ducks of Anaheim,1459,14,87,480,18.125,13,84,510,16.470588235294116,9
2005,NHL,ATL,WPG,EC,SE,3,,82,41,33,,8,90,5,5,281,275,6,Atlanta Thrashers,1344,26,100,527,18.975332068311197,10,102,492,20.73170731707317,13
