year,tmID,rank,playoff,G,W,L,Pts,GF,GA,Goal Dif,PIM,BenchMinor,PPG,PPC,PP%,SHA,PKG,PKC,PK%,SHF
1998,LAK,5,,82,32,45,69,189,222,-33,1383,14,43,327,0.1315,11,47,330, 0.1424 ,12
1998,MTL,5,,82,32,39,75,184,209,-25,1299,14,50,344,0.1453,10,44,344, 0.1279 ,8
1998,NAS,4,,82,28,47,63,190,261,-71,1420,14,40,324,0.1235,10,75,357, 0.2101 ,7
1998,NJD,1,CQF,82,47,24,105,248,196,52,1355,14,60,304,0.1974,5,47,325, 0.1446 ,7
1998,NYI,5,,82,24,48,58,194,244,-50,1111,22,54,341,0.1584,7,60,363, 0.1653 ,8
1998,NYR,4,,82,33,38,77,217,227,-10,1087,14,71,348,0.2040,9,48,336, 0.1429 ,7
1998,OTT,1,CQF,82,44,23,103,239,179,60,892,12,59,397,0.1486,13,44,317, 0.1388 ,6
1998,PHI,2,CQF,82,37,26,93,231,196,35,1075,12,65,386,0.1684,7,53,333, 0.1592 ,4
1998,PHO,2,CQF,82,39,31,90,205,197,8,1412,12,41,342,0.1199,5,45,348, 0.1293 ,8
1998,PIT,3,CSF,82,38,30,90,242,225,17,977,12,65,363,0.1791,14,56,302, 0.1854 ,10
1998,SJS,4,CQF,82,31,33,80,196,191,5,1423,10,53,399,0.1328,4,61,407, 0.1499 ,8
1998,STL,2,CSF,82,37,32,87,237,209,28,1308,6,61,301,0.2027,4,47,387, 0.1214 ,7
1998,TBL,4,,82,19,54,47,179,292,-113,1316,10,43,310,0.1387,10,68,387, 0.1757 ,11
1998,TOR,2,CF,82,45,30,97,268,231,37,1095,16,53,367,0.1444,6,64,325, 0.1969 ,7
1998,VAN,4,,82,23,47,58,192,258,-66,1764,16,57,358,0.1592,9,77,450, 0.1711 ,17
1998,WAS,3,,82,31,45,68,200,218,-18,1381,6,52,301,0.1728,7,55,353, 0.1558 ,8
1999,ANA,5,,82,34,33,83,217,227,-10,926,8,55,332,0.1657,8,62,296, 0.2095 ,4
1999,ATL,5,,82,14,57,39,170,313,-143,1422,16,44,348,0.1264,13,76,386, 0.1969 ,6
1999,BOS,5,,82,24,33,73,210,248,-38,865,6,51,355,0.1437,4,55,268, 0.2052 ,0
1999,BUF,3,CQF,82,35,32,85,213,204,9,1173,10,37,351,0.1054,10,54,361, 0.1496 ,8
1999,CAL,4,,82,31,36,77,211,256,-45,1267,8,59,330,0.1788,8,74,365, 0.2027 ,4
1999,CAR,3,,82,37,35,84,217,216,1,799,4,58,342,0.1696,7,40,253, 0.1581 ,3
